0,xi,f(xi),f'(xi),errR,errRP
1,-3.0,-5.4375,-0.375,1.0,100.0
2,-17.5,13.140625,-2.1875,0.8285714285714286,82.85714285714286
3,-11.492857142857144,2.255360331632655,-1.436607142857143,0.5226848974518333,52.26848974518333
4,-9.922935718725029,0.15404082987181233,-1.2403669648406286,0.1582113870968248,15.821138709682481
5,-9.798745995652547,0.0009639429573020664,-1.2248432494565684,0.012674042487434731,1.2674042487434731
6,-9.797959002739185,3.870986553522471e-08,-1.2247448753423982,8.032212761269065e-05,0.008032212761269064
7,-9.797958971132713,8.881784197001252e-16,-1.2247448713915892,3.225822051237972e-09,3.2258220512379717e-07
