0,xi,f(xi),g(xi),errR,errRP
1,-2.0,-5.75,-25.0,1.0,100.0
2,-25.0,33.0625,-14.42,0.92,92.0
3,-14.42,6.9960249999999995,-10.538710124826629,0.7337031900138696,73.37031900138696
4,-10.538710124826629,0.9415256934452065,-9.823992150962104,0.36828889201819864,36.82888920181986
5,-9.823992150962104,0.03192636138531402,-9.797993464566828,0.07275229487989056,7.275229487989056
6,-9.797993464566828,4.224573089128825e-05,-9.79795897119343,0.002653470477327528,0.2653470477327528
7,-9.79795897119343,7.436273818939299e-11,-9.797958971132712,3.5204651805401647e-06,0.00035204651805401647
8,-9.797958971132712,-8.881784197001252e-16,-9.797958971132712,6.196969522574004e-12,6.196969522574004e-10
